id,value
Euryarchaeota.Methanobrevibacter.Methanobrevibacter_smithii,474.00000000000006
Actinobacteria.Actinobaculum.Actinobaculum_sp_oral_taxon_183,0.0
Actinobacteria.Actinomyces.Actinomyces_cardiffensis,0.0
Actinobacteria.Actinomyces.Actinomyces_georgiae,0.0
Actinobacteria.Actinomyces.Actinomyces_graevenitzii,0.0
Actinobacteria.Actinomyces.Actinomyces_hongkongensis,0.0
Actinobacteria.Actinomyces.Actinomyces_johnsonii,0.0
Actinobacteria.Actinomyces.Actinomyces_massiliensis,0.0
Actinobacteria.Actinomyces.Actinomyces_meyeri,0.0
Actinobacteria.Actinomyces.Actinomyces_naeslundii,0.0
Actinobacteria.Actinomyces.Actinomyces_odontolyticus,642.0
Actinobacteria.Actinomyces.Actinomyces_oris,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_HMSC035G02,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_HPA0247,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_ICM47,251.0
Actinobacteria.Actinomyces.Actinomyces_sp_S6_Spd3,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_oral_taxon_170,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_oral_taxon_180,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_oral_taxon_181,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_oral_taxon_414,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_oral_taxon_448,0.0
Actinobacteria.Actinomyces.Actinomyces_sp_oral_taxon_897,0.0
Actinobacteria.Actinomyces.Actinomyces_viscosus,0.0
Actinobacteria.Aeriscardovia.Aeriscardovia_aeriphila,0.0
Actinobacteria.Alloscardovia.Alloscardovia_omnicolens,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_adolescentis,965.0000000000001
Actinobacteria.Bifidobacterium.Bifidobacterium_angulatum,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_animalis,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_bifidum,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_catenulatum,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_dentium,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_longum,0.0
Actinobacteria.Bifidobacterium.Bifidobacterium_pseudocatenulatum,0.0
Actinobacteria.Parascardovia.Parascardovia_denticolens,0.0
Actinobacteria.Scardovia.Scardovia_wiggsiae,0.0
Actinobacteria.Corynebacterium.Corynebacterium_argentoratense,0.0
Actinobacteria.Corynebacterium.Corynebacterium_durum,0.0
Actinobacteria.Corynebacterium.Corynebacterium_matruchotii,0.0
Actinobacteria.Micrococcus.Micrococcus_aloeverae,0.0
Actinobacteria.Micrococcus.Micrococcus_luteus,0.0
Actinobacteria.Rothia.Rothia_aeria,0.0
Actinobacteria.Rothia.Rothia_dentocariosa,0.0
Actinobacteria.Rothia.Rothia_mucilaginosa,4210.0
Actinobacteria.Cutibacterium.Cutibacterium_acnes,0.0
Actinobacteria.Cutibacterium.Cutibacterium_granulosum,0.0
Actinobacteria.Propionibacterium.Propionibacterium_acidifaciens,0.0
Actinobacteria.Pseudopropionibacterium.Pseudopropionibacterium_propionicum,0.0
Actinobacteria.Atopobium.Atopobium_minutum,0.0
Actinobacteria.Atopobium.Atopobium_parvulum,0.0
Actinobacteria.Atopobium.Atopobium_rimae,0.0
Actinobacteria.Olsenella.Olsenella_scatoligenes,50.99999999999999
Actinobacteria.Olsenella.Olsenella_uli,0.0
Actinobacteria.Collinsella.Collinsella_aerofaciens,131552.0
Actinobacteria.Collinsella.Collinsella_intestinalis,0.0
Actinobacteria.Collinsella.Collinsella_stercoris,441.0
Actinobacteria.Enorma.Collinsella_massiliensis,0.0
Actinobacteria.Adlercreutzia.Adlercreutzia_equolifaciens,0.0
Actinobacteria.Asaccharobacter.Asaccharobacter_celatus,0.0
Actinobacteria.Eggerthella.Eggerthella_lenta,0.0
Actinobacteria.Enterorhabdus.Enterorhabdus_caecimuris,0.0
Actinobacteria.Gordonibacter.Gordonibacter_pamelaeae,0.0
Actinobacteria.Slackia.Slackia_exigua,0.0
Actinobacteria.Slackia.Slackia_isoflavoniconvertens,10226.0
Bacteroidetes.Bacteroidetes_unclassified.Bacteroidetes_bacterium_oral_taxon_272,0.0
Bacteroidetes.Bacteroidetes_unclassified.Bacteroidetes_oral_taxon_274,0.0
Bacteroidetes.Bacteroides.Bacteroides_caccae,20831.0
Bacteroidetes.Bacteroides.Bacteroides_cellulosilyticus,0.0
Bacteroidetes.Bacteroides.Bacteroides_clarus,0.0
Bacteroidetes.Bacteroides.Bacteroides_coprocola,0.0
Bacteroidetes.Bacteroides.Bacteroides_coprophilus,0.0
